,title,authors,isbn,publisher,categories,thumbnail,description
0,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,0439785960,Scholastic Inc.,Juvenile Fiction,http://books.google.com/books/content?id=QzI0BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When Harry Potter and the Half-Blood Prince opens, the war against Voldemort has begun. The Wizarding world has split down the middle, and as the casualties mount, the effects even spill over onto the Muggles. Dumbledore is away from Hogwarts for long periods, and the Order of the Phoenix has suffered grievous losses. And yet, as in all wars, life goes on. Harry, Ron, and Hermione, having passed their O.W.L. level exams, start on their specialist N.E.W.T. courses. Sixth-year students learn to Apparate, losing a few eyebrows in the process. Teenagers flirt and fight and fall in love. Harry becomes captain of the Gryffindor Quidditch team, while Draco Malfoy pursues his own dark ends. And classes are as fascinating and confounding as ever, as Harry receives some extraordinary help in Potions from the mysterious Half-Blood Prince. Most importantly, Dumbledore and Harry work together to uncover the full and complex story of a boy once named Tom Riddle—the boy who became Lord Voldemort. Like Harry, he was the son of one Muggle-born and one Wizarding parent, raised unloved, and a speaker of Parseltongue. But the similarities end there, as the teenaged Riddle became deeply interested in the Dark objects known as Horcruxes: objects in which a wizard can hide part of his soul, if he dares splinter that soul through murder. Harry must use all the tools at his disposal to draw a final secret out of one of Riddle’s teachers, the sly Potions professor Horace Slughorn. Finally Harry and Dumbledore hold the key to the Dark Lord’s weaknesses... until a shocking reversal exposes Dumbledore’s own vulnerabilities, and casts Harry’s—and Hogwarts’s—future in shadow."
1,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,0439358078,Scholastic Inc.,Juvenile Fiction,http://books.google.com/books/content?id=OIJ5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In Harry Potter and the Order of the Phoenix, Lord Voldemort has returned to the Wizarding world, presenting a threat that neither the magical government nor the authorities at Hogwarts can stop. In response to his reappearance, Dumbledore reactivates the Order of the Phoenix, a secret society which works to defeat the Dark Lord's minions and protect his targets—especially Harry Potter. But Harry doesn’t want to be protected. Even as the Ministry of Magic denies his claims, The Daily Prophet discredits him, and even Dumbledore won’t look him in the eye, Harry grows more and more determined to fight his lifelong enemy Voldemort—if only he had the “weapon” the Order is guarding. In the meantime, he visits his godfather at his ghoulish London home, Grimmauld Place, and learns more about Voldemort’s deep reach into Wizarding history and the Wizarding world. Back at Hogwarts, Harry must deal with a Defense Against the Dark Arts teacher with a personality like poisoned honey; a surprising new member of the Gryffindor Quidditch team; the possibility of his first real romance; and the looming nightmare of the Ordinary Wizarding Level exams. He’s haunted by dreams of a heavy door at the end of a silent corridor, and a vision of his father and the young Severus Snape that changes everything he thought he knew about them. Even the joy of working with ""Dumbledore's Army"" -a group of Hogwart's students dedicated to defeating Voldemort- can't dispel the gathering darkness. Soon Harry will discover the true depth and strength of his friends; their boundless loyalty and unbearable sacrifices. His fate depends on them all."
2,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,0439554896,Scholastic,Juvenile Fiction,http://books.google.com/books/content?id=h2Y-PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"When the Chamber of Secrets is opened again at the Hogwarts School for Witchcraft and Wizardry, second-year student Harry Potter finds himself in danger from a dark power that has once more been released on the school."
3,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,043965548X,Scholastic Inc.,Juvenile Fiction,http://books.google.com/books/content?id=IZN5BgAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"For twelve long years, the dread fortress of Azkaban held an infamous prisoner named Sirius Black. Convicted of killing thirteen people with a single curse, he was said to be the heir apparent to the Dark Lord, Voldemort, and might even have assisted in the deaths of James and Lily Potter—Harry Potter’s parents. Now Black has escaped, leaving only two clues as to where he might be headed: Harry Potter's defeat of You-Know-Who was Black's downfall as well. And the Azkaban guards heard him muttering in his sleep, ""He’s at Hogwarts... he’s at Hogwarts."" Of course, Harry already had plenty to worry about. After inflating his nasty aunt and running away on the magical Knight Bus, he finds he’s being pursued by death omens at every turn. He receives two wonderful gifts: a top-of-the-line Firebolt broomstick, and the Marauder’s Map, a magical diagram of Hogwarts made by the mysterious “Moony, Wormtail, Padfoot, and Prongs.” Hermione disappears frequently, burdened down by a seemingly impossible course schedule. And the soulless Dementors have come to guard Hogwarts—supposedly to protect Harry from Sirius Black, but they terrify Harry more than the fugitive ever could. To strengthen himself against them, Harry reaches out to Remus Lupin, the Defense Against the Dark Arts teacher who was once a friend of his father’s. Lupin teaches Harry about the Patronus Charm, a defensive measure well above the level of magic generally mastered by wizards Harry’s age. But even with his broom, his map, his magic, and his loyal friends, Harry isn't safe. Because on top of everything else, there’s a traitor hidden at Hogwarts…"
4,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,0439682584,Scholastic,Juvenile Fiction,http://books.google.com/books/content?id=DAAAAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The first five years of Harry Potter magic are captured in a boxed set which includes The Sorcerer's Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire, and The Order of the Phoenix. Simultaneous."
5,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,0976540606,Nimble Books,Fiction,http://books.google.com/books/content?id=LH5C9q83T6wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Through the magic of print-on-demand technology, this ""nimble"" guide to the work of best-selling author J. K. Rowling provides the latest news about the author and her works, updated whenever there are significant developments. Unlike a conventional book, for which editions are printed in quantity every couple of years, this ""living book"" goes through frequent ""mini-editions"" and is printed fresh whenever customers place an order. Purchasers are entitled to free PDF updates! An entirely new section of analysis with more than 75 new pages will be added shortly after the release of ""Harry Potter and the Half-Blood Prince"" on July 16, 2005."
6,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,0439827604,Scholastic,Juvenile Fiction,http://books.google.com/books/content?id=v0z1PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The first six years of Harry Potter magic are captured in a boxed set which includes The Sorcerer's Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire, The Order of the Phoenix, and The Half-Blood Prince."
7,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0345453743,Del Rey Books,Fiction,http://books.google.com/books/content?id=4m0Qj9xKksYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In this collection of novels, Arthur Dent is introduced to the galaxy at large when he is rescued by an alien friend seconds before Earth's destruction, and embarks on a series of amazing adventures with his new companion."
8,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,1400052920,Crown,Fiction,http://books.google.com/books/content?id=YOr4SQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A facsimile anniversary edition of the best-seller chronicles the off-beat and occasionally extraterrestrial journeys, notions, and acquaintances of reluctant galactic traveler Arthur Dent."
9,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,0517149257,Wings Books,Fiction,http://books.google.com/books/content?id=cA3jxBtM1vIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"This outrageous volume contains six zany, out-of-this-world adventure stories by this incomparable novelist. From the very first to the very latest—all best sellers—includes The Hitchhiker's Guide to the Galaxy; The Restaurant at the End of the Universe; Life, the Universe and Everything, So Long and Thanks for all the Fish; Young Zaphod Plays it Safe; and Mostly Harmless. 768 pages."
10,A Short History of Nearly Everything,Bill Bryson,076790818X,Broadway Books,Science,http://books.google.com/books/content?id=YjAnfhsAQ8wC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author of A Walk in the Woods traces the Big Bang through the rise of civilization, documenting his work with a host of the world's most advanced scientists and mathematicians to explain why things are the way they are. Reprint. 125,000 first printing."
11,Bill Bryson's African Diary,Bill Bryson,0767915062,Broadway Books,Biography & Autobiography,http://books.google.com/books/content?id=3QiTmAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A travel writer with little background knowledge of Africa recounts his journey to Kenya at the invitation of CARE International, where he visited slums, historic sites, natural wonders, refugee camps, and relief projects."
12,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,0767910435,Broadway Books,Language Arts & Disciplines,http://books.google.com/books/content?id=nRduHUeIzvAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A revised and updated edition of a humorous primer on the English language, expanded for an American audience, contains entries on correct and questionable usage, a glossary, and a pronunciation guide. Reprint. 25,000 first printing."
13,In a Sunburned Country,Bill Bryson,0767903862,Broadway Books,True Crime,http://books.google.com/books/content?id=7ZELqUsksIwC&printsec=frontcover&img=1&zoom=1&source=gbs_api,The author takes readers on a tour of the land Down Under that goes far beyond packaged-tour routes.
14,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,076790382X,Broadway Books,Biography & Autobiography,http://books.google.com/books/content?id=xb4wSmJLnhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The author describes his return to America after two decades of living abroad and his disconcerting reunion with his homeland as he discusses motels, tax-return instructions, and hardware stores."
15,The Lost Continent: Travels in Small Town America,Bill Bryson,0060920084,William Morrow Paperbacks,Travel,http://books.google.com/books/content?id=3139wFo58H4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,An unsparing and hilarious account of one man's rediscovery of America and his search for the perfect small town.
16,Neither Here nor There: Travels in Europe,Bill Bryson,0380713802,William Morrow Paperbacks,Travel,http://books.google.com/books/content?id=LpkAcBTPy_kC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Like many of his generation, Bill Bryson backpacked across Europe in the early seventies -- in search of enlightenment, beer, and women. Twenty years later he decided to retrace the journey he undertook in the halcyon days of his youth. The result is Neither Here Nor There, an affectionate and riotously funny pilgrimage from the frozen wastes of Scandinavia to the chaotic tumult of Istanbul, with stops along the way in Europe's most diverting and historic locales. Like many of his generation, Bill Bryson backpacked across Europe in the early seventies--in search of enlightenment, beer, and women. Twenty years later he decided to retrace the journey he undertook in the halcyon days of his youth. The result is Neither Here Nor There, an affectionate and riotously funny pilgrimage from the frozen wastes of Scandinavia to the chaotic tumult of Istanbul, with stops along the way in Europe's most diverting and historic locales."
